Unique_Sample_ID,Time_place_of_CBC_analysis,Genotype,Princeton/NIH_Tag,CageID,Parents,Age,Location,Notes,Infection_Status,Block,WBC_count,Neu_count,Lym_count,Mon_count,Eos_count,Bas_count,Neu_percent,Lym_percent,Mon_percent,Eos_percent,Bas_percent,RBC_count,HGB (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW-CV (%),MPV (fL)
113_NIH_Lab_N,NIH,129,113,20,G430,6,Lab,,N,2,7.3,2.29,4.54,0.16,0.3,0.01,31.3,62.2,2.2,4.2,0.1,10.07,17.8,49.5,49.2,17.7,36,15.3,4.3
113_2 weeks_Lab_N,2 weeks,129,113,20,G430,10,Lab,,N,2,3.66,0.17,3.42,0.02,0.04,0.01,4.6,93.4,0.7,1,0.3,9.51,15.4,43.3,45.6,16.2,35.5,13.4,5.8
113_5 weeks_Lab_N,5 weeks,129,113,20,G430,13,Lab,,N,2,1.5,0.5,0.94,0.01,0.05,0,33.3,62.4,1,2.8,0.5,10.59,16.7,49.1,46.4,15.8,34.1,14.6,6.1
111_NIH_Lab_N,NIH,129,111,20,G430,6,SF,,N,2,8.56,1.53,5.83,0.17,1.02,0.01,17.8,68,2,12,0.2,9.67,17.7,47.8,49.5,18.3,36.9,15.1,4.9
111_2 weeks_SF_N,2 weeks,129,111,20,G430,10,SF,,N,2,2.73,1.19,0.88,0.22,0.43,0.01,43.5,32.1,8.2,15.5,0.7,10.54,17.2,48,45.5,16.3,35.8,15,5.1
111_5 weeks_SF_N,5 weeks,129,111,20,G430,13,SF,,N,2,2.2,0.95,0.97,0.02,0.25,0.01,43.2,43.7,0.9,11.8,0.4,8.23,13.7,38.4,46.6,16.7,35.8,15.1,4.9
109/167_NIH_Lab_N,NIH,129,109,20,G430,6,Lab,,N,2,7.31,1.03,4.83,0.19,1.23,0.03,14.1,66.1,2.6,16.8,0.4,9.86,17.6,48.4,49,17.9,36.4,14.9,5.3
112_NIH_Lab_Tm,NIH,129,112,20,G429,5,Lab,,Tm,2,7.99,1.53,6.04,0.16,0.24,0.02,19.1,75.6,2.1,3,0.2,9.04,16.6,45.8,50.6,18.3,36.2,15.6,4.7
112_2 weeks_Lab_Tm,2 weeks,129,112,20,G429,9,Lab,,Tm,2,7.37,1.62,5.33,0.13,0.2,0.09,21.9,72.3,1.8,2.7,1.3,10.28,16.8,46.8,45.6,16.3,35.8,14.1,5.2
112_5 weeks_Lab_Tm,5 weeks,129,112,20,G429,12,Lab,,Tm,2,1.78,0.25,1.22,0.01,0.3,0,14,68.4,0.7,16.7,0.2,9.94,15.7,45.5,45.8,15.8,34.5,13.9,4.2
123_NIH_Lab_N,NIH,129,123,22,G457,5,SF,,N,2,11.41,2.56,8.28,0.21,0.33,0.03,22.5,72.6,1.8,2.8,0.3,8.76,16.3,44.4,50.7,18.6,36.7,15.5,4.9
123_2 weeks_SF_N,2 weeks,129,123,22,G457,9,SF,,N,2,1.06,0.3,0.66,0.05,0.04,0.01,27.9,61.4,4.6,4.5,1.6,8.26,14.1,38.1,46.2,17.1,37,15.6,5.4
123_5 weeks_SF_N,5 weeks,129,123,22,G457,12,SF,,N,2,1.4,0.33,1.02,0.02,0.02,0.01,23.1,72.3,1.6,2.1,0.9,9.75,16.1,46,47.2,16.6,35.1,15.9,5.7
120_NIH_Lab_Tm,NIH,129,120,22,G457,5,SF,,Tm,2,7.76,1.64,5.67,0.16,0.28,0.01,21.1,73,2.1,3.6,0.2,9.16,17.2,45.9,50.1,18.7,37.4,16,4.8
120_2 weeks_SF_Tm,2 weeks,129,120,22,G457,9,SF,,Tm,2,3.01,0.97,1.44,0.27,0.3,0.03,32.1,47.7,9.1,10.1,1,9.07,15.1,41.9,46.2,16.6,35.9,15.7,5.4
120_5 weeks_SF_Tm,5 weeks,129,120,22,G457,12,SF,,Tm,2,2.11,0.64,1.3,0.02,0.14,0.01,30.1,61.5,1.3,6.5,0.6,9.97,16.9,47.6,47.8,16.9,35.5,16.1,4.7
122/168_NIH_Lab_Tm,NIH,129,122,22,G457,5,SF,,Tm,2,5.53,1.45,3.83,0.1,0.14,0.01,26.1,69.3,1.9,2.4,0.3,8.52,16.1,43.6,51.2,18.9,36.9,16.1,4.7
122/168_2 weeks_SF_Tm,2 weeks,129,122,22,G457,9,SF,,Tm,2,2.49,0.79,1.08,0.16,0.45,0.01,31.6,43.3,6.7,17.7,0.7,10.35,17,47.6,46,16.4,35.7,14.5,5.2
122/168_5 weeks_SF_Tm,5 weeks,129,122,22,G457,12,SF,,Tm,2,1.74,0.96,0.53,0.06,0.18,0.01,55,30.3,3.6,10.4,0.7,11.58,18.8,53.8,46.4,16.2,34.9,14.8,5.4
121_NIH_Lab_Tm,NIH,129,121,22,G429,5,Lab,,Tm,2,8.08,2.16,5.54,0.17,0.19,0.02,26.8,68.5,2,2.4,0.3,8.89,16,45.2,50.9,18,35.3,16,4.4
121_2 weeks_Lab_Tm,2 weeks,129,121,22,G429,9,Lab,,Tm,2,8.92,1.32,7.22,0.12,0.2,0.06,14.8,80.9,1.3,2.3,0.7,10.24,16.9,47.2,46.1,16.5,35.9,14.2,4.8
121_5 weeks_Lab_Tm,5 weeks,129,121,22,G429,12,Lab,,Tm,2,2.33,0.49,1.18,0.05,0.6,0.01,21,50.6,2,25.7,0.7,9.91,16,46.5,47,16.2,34.5,14.1,4.7
119_NIH_Lab_N,NIH,129,119,22,G429,5,Lab,,N,2,9.99,2.24,7.15,0.26,0.31,0.03,22.4,71.6,2.6,3.1,0.3,8.91,16.5,44.7,50.1,18.5,37,16.6,5.2
119_2 weeks_Lab_N,2 weeks,129,119,22,G429,9,Lab,,N,2,9.52,1.45,7.76,0.13,0.15,0.03,15.2,81.5,1.4,1.6,0.3,10.06,16.4,45.7,45.4,16.3,35.8,14.1,5.1
119_5 weeks_Lab_N,5 weeks,129,119,22,G429,12,Lab,,N,2,2.39,0.62,1.57,0.03,0.17,0,25.6,65.6,1.3,7.3,0.2,9.76,16,45.7,46.8,16.4,35.1,15.6,5
102_NIH_Lab_N,NIH,129,102,18,G456,6,Lab,,N,2,6.95,1.7,4.96,0.13,0.14,0.02,24.4,71.4,1.9,2,0.3,9.36,17.1,46.8,50,18.3,36.6,15.8,4.7
102_2 weeks_Lab_N,2 weeks,129,102,18,G456,10,Lab,,N,2,8.77,1.88,5.74,0.19,0.92,0.04,21.4,65.5,2.2,10.5,0.4,10.64,17.1,48.4,45.4,16.1,35.4,14.4,5
102_5 weeks_Lab_N,5 weeks,129,102,18,G456,13,Lab,,N,2,1.94,0.83,1.04,0,0.07,0,42.7,53.4,0.3,3.5,0.1,10.47,16.4,48,45.9,15.6,34.1,14.9,5.2
101_NIH_Lab_Tm,NIH,129,101,18,G454,8,Lab,,Tm,2,10.98,3.15,7.27,0.21,0.32,0.03,28.7,66.2,1.9,2.9,0.3,10.53,18.4,50.1,47.6,17.4,36.6,15.3,4.7
101_2 weeks_Lab_Tm,2 weeks,129,101,18,G454,12,Lab,,Tm,2,12.08,2.24,9.37,0.23,0.16,0.08,18.5,77.6,1.8,1.4,0.7,10.92,18,50,45.8,16.5,36.1,14.4,5.1
101_5 weeks_Lab_Tm,5 weeks,129,101,18,G454,15,Lab,,Tm,2,2.12,0.64,1.06,0.01,0.41,0,30.2,49.7,0.8,19,0.3,10.44,16.8,48,46,16.1,35,14.8,4.2
103/124_NIH_Lab_Tm,NIH,129,103,18,G461,8,SF,,Tm,2,9.99,2.45,6.94,0.21,0.36,0.03,24.5,69.5,2.1,3.6,0.3,9.96,17.3,47.4,47.6,17.4,36.6,15.2,4.8
103/124_2 weeks_SF_Tm,2 weeks,129,103,18,G461,12,SF,,Tm,2,2.32,1.17,0.92,0.03,0.19,0.01,50.4,39.3,1.4,8.3,0.6,10.3,16.4,46.9,45.5,16,35.1,14.9,5.4
103/124_5 weeks_SF_Tm,5 weeks,129,103,18,G461,15,SF,,Tm,2,2.38,1.14,1.19,0.02,0.03,0,47.9,50,0.5,1.3,0.3,11.51,18.9,53,46.1,16.4,35.7,14.6,5
315_NIH_Lab_N,NIH,PWK,315,15,G646,5,SF,,N,2,3.98,0.44,3.27,0.04,0.21,0.02,11,82,1.1,5.2,0.7,9.85,16.4,47.7,48.4,16.6,34.3,16.6,13.1
315_2 weeks_SF_N,2 weeks,PWK,315,15,G646,10,SF,,N,2,4.53,2.61,1.62,0.14,0.11,0.05,57.6,35.8,2.9,2.6,1.1,10.6,16.8,48,45.3,15.9,35,15.4,6
316_NIH_SF_Tm,NIH,PWK,316,15,G646,5,SF,,Tm,2,3.26,0.54,2.52,0.05,0.13,0.02,16.5,77.3,1.8,3.8,0.6,8.67,15.3,42.3,48.8,17.6,36.2,18.3,12
316_2 weeks_Lab_Tm,2 weeks,PWK,316,15,G646,10,SF,,Tm,2,4.16,3.06,0.33,0.57,0.15,0.05,73.6,7.9,13.5,3.8,1.2,10.07,16.1,45.3,45,15.9,35.5,15.9,12
316_5 weeks_SF_Tm,5 weeks,PWK,316,15,G646,13,SF,,Tm,2,5.59,1.9,1.49,0.55,1.11,0.54,34,26.7,9.9,19.8,9.6,9.01,14.8,42.3,46.9,16.5,35.1,14.8,5.8
314_NIH_Lab_Tm,NIH,PWK,314,15,G648,6,SF,,Tm,2,2.56,0.28,2.17,0.02,0.09,0,10.7,84.4,1,3.6,0.3,8.84,15.2,43,48.7,17.2,35.4,15.8,5.6
314_2 weeks_SF_Tm,2 weeks,PWK,314,15,G648,10,SF,,Tm,2,4.1,1.54,1.92,0.28,0.32,0.04,37.6,46.6,7,7.8,1,10.76,16.7,47.8,44.4,15.6,35,15.6,6.4
314_5 weeks_SF_Tm,5 weeks,PWK,314,15,G648,13,SF,,Tm,2,5.11,3.59,1.28,0.11,0.08,0.05,70.2,24.9,2.3,1.6,1,9.87,16,44.9,45.5,16.2,35.6,15.8,6
307_NIH_Lab_N,NIH,PWK,307,13,G652,8,SF,,N,2,2.59,0.27,2.2,0.06,0.05,0.01,10.4,84.8,2.3,2.1,0.4,8.58,14.9,40.4,47.1,17.4,36.9,13.9,5.8
307_5 weeks_SF_N,5 weeks,PWK,307,13,G652,15,SF,,N,2,4.61,2.22,1.28,0.39,0.7,0.02,48.1,27.8,8.6,15,0.5,10.35,15.9,46.5,44.9,15.3,34.1,15.7,5.7
308_NIH_Lab_Tm,NIH,PWK,308,13,G652,8,Lab,,Tm,2,4.24,0.31,3.79,0.05,0.07,0.02,7.3,89.4,1.3,1.5,0.5,10.35,17.2,48.7,47.1,16.6,35.3,14.2,15.8
308_2 weeks_Lab_Tm,2 weeks,PWK,308,13,G652,12,Lab,,Tm,2,2.78,0.47,2.08,0.08,0.1,0.05,16.7,74.6,3.2,3.7,1.8,9.41,14.9,41.4,44,15.9,36.1,13.5,5.7
308_5 weeks_Lab_Tm,5 weeks,PWK,308,13,G652,15,Lab,,Tm,2,0.9,0.26,0.57,0.01,0.05,0.01,28.8,62.6,2.1,5,1.5,9.87,15.8,44.5,45.1,16,35.5,13.5,5.9
309_NIH_Lab_Tm,NIH,PWK,309,13,G652,8,Lab,,Tm,2,5.92,0.73,4.84,0.18,0.13,0.04,12.3,81.6,3.1,2.3,0.7,10.14,16.9,47.1,46.5,16.7,36,13.7,5.6
309_2 weeks_Lab_Tm,2 weeks,PWK,309,13,G652,12,Lab,,Tm,2,3.56,1.38,1.67,0.26,0.2,0.05,38.5,46.8,7.4,5.9,1.4,10.31,16.2,47,45.6,15.7,34.4,14.1,6
309_5 weeks_Lab_Tm,5 weeks,PWK,309,13,G652,15,Lab,,Tm,2,4.11,2.71,1.02,0.18,0.14,0.06,65.8,24.9,4.5,3.4,1.4,9.8,15.6,44.2,45.1,15.9,35.2,15.5,6
305_NIH_Lab_Tm,NIH,PWK,305,13,G643,8,SF,,Tm,2,2.26,0.23,1.93,0.02,0.06,0.02,10.2,85,1.1,2.7,1,10.67,17.9,49.6,46.4,16.8,36.1,14.7,14.8
305_2 weeks_SF_Tm,2 weeks,PWK,305,13,G643,12,SF,,Tm,2,3.11,1.54,1.31,0.14,0.08,0.04,49.5,42,4.5,2.7,1.3,10,15.8,44.6,44.6,15.8,35.4,14.5,13
305_5 weeks_SF_Tm,5 weeks,PWK,305,13,G643,15,SF,,Tm,2,3.06,1.74,0.03,1.04,0.19,0.06,56.7,1.1,33.9,6.2,2.1,10.08,15.7,45.9,45.5,15.5,34.1,15.6,12.5
306_NIH_Lab_N,NIH,PWK,306,13,G643,8,Lab,,N,2,4.43,1.02,3.15,0.12,0.1,0.04,22.9,71,2.9,2.3,0.9,10.18,17.7,47.6,46.8,17.4,37.3,14.8,14.5
306_2 weeks_Lab_N,2 weeks,PWK,306,13,G643,12,Lab,,N,2,8.13,2.31,5.28,0.27,0.13,0.14,28.3,64.9,3.3,1.7,1.8,10.43,16.6,45.6,43.7,15.9,36.5,13.2,13.9
306_5 weeks_Lab_N,5 weeks,PWK,306,13,G643,15,Lab,,N,2,1.78,0.58,1.12,0.03,0.04,0.01,32.2,62.8,1.9,2.1,1,9.67,15.4,43.7,45.2,15.9,35.1,14.5,13.6
303_NIH_Lab_N,NIH,PWK,303,12,G647,7,Lab,,N,2,1.78,0.43,1.19,0.08,0.06,0.02,23.9,66.5,4.6,3.6,1.4,9.32,16.4,44.2,47.4,17.6,37,16.6,12.6
303_2 weeks_Lab_N,2 weeks,PWK,303,12,G647,11,Lab,,N,2,3.9,0.7,3,0.06,0.09,0.05,17.8,76.8,1.6,2.4,1.4,9.87,15.9,43.9,44.5,16.1,36.2,13.8,12.6
303_5 weeks_Lab_N,5 weeks,PWK,303,12,G647,14,Lab,,N,2,1.56,0.53,0.94,0.02,0.06,0.01,33.6,60.1,1.4,3.9,1,9.56,15.3,43.6,45.6,16,35.1,13.8,14.3
304/374_NIH_Lab_N,NIH,PWK,304,12,G647,7,SF,,N,2,5.01,0.64,3.99,0.14,0.2,0.04,12.6,79.5,2.8,4.2,0.9,9.96,17.1,47.1,47.3,17.1,36.2,16.3,13.6
304/374_2 weeks_SF_N,2 weeks,PWK,304,12,G647,11,SF,,N,2,4.07,2.12,1.7,0.11,0.11,0.03,52,41.8,2.7,2.8,0.7,10.25,16.3,45.9,44.8,15.9,35.5,14.4,12.9
304/374_5 weeks_SF_N,5 weeks,PWK,304,12,G647,14,SF,,N,2,3.33,1.95,1.22,0.05,0.08,0.03,58.4,36.5,1.6,2.5,1,9.67,15.3,43.7,45.2,15.8,34.9,14.8,5.8
301_NIH_Lab_Tm,NIH,PWK,301,12,G647,7,Lab,,Tm,2,4.67,0.31,4.01,0.13,0.19,0.03,6.5,85.9,2.7,4.3,0.6,9.79,16.6,46.4,47.4,16.9,35.7,15.5,6.1
301_2 weeks_Lab_Tm,2 weeks,PWK,301,12,G647,11,Lab,,Tm,2,4.63,0.74,3.68,0.07,0.08,0.06,16,79.4,1.6,1.7,1.3,10.25,16.8,45.2,44.1,16.3,37.1,13.3,6
301_5 weeks_Lab_Tm,5 weeks,PWK,301,12,G647,14,Lab,,Tm,2,1.47,0.85,0.6,0,0.01,0.01,57.3,40.3,0.6,0.9,0.9,10.51,16.7,48.1,45.7,15.9,34.8,13,6.1
302/362_NIH_Lab_Tm,NIH,PWK,302,12,G648,6,SF,,Tm,2,3.3,0.29,2.82,0.08,0.1,0.01,8.8,85.4,2.5,2.8,0.5,8.64,14.7,41.5,48.1,17,35.4,15.6,5.9
302/362_2 weeks_SF_Tm,2 weeks,PWK,302,12,G648,10,SF,,Tm,2,2.1,0.66,1.19,0.14,0.11,0,31.3,56.3,6.4,5.6,0.4,10.89,17.4,48.6,44.6,16,35.8,14.8,5.6
302/362_5 weeks_SF_Tm,5 weeks,PWK,302,12,G648,13,SF,,Tm,2,3.58,2.53,0.13,0.75,0.14,0.03,70.5,3.7,20.8,4,1,10.14,15.3,43.9,43.3,15.1,34.8,16.2,10.2
319_NIH_Lab_Tm,NIH,PWK,319,16,G644,5,Lab,,Tm,2,2.25,0.36,1.6,0.07,0.21,0.01,15.6,71,3.2,9.4,0.8,9.38,16.3,44.7,47.6,17.3,36.4,21.1,9.7
319_2 weeks_Lab_Tm,2 weeks,PWK,319,16,G644,9,Lab,,Tm,2,11.55,5.71,4.7,0.5,0.3,0.34,49.5,40.6,4.3,2.6,3,10.23,15.2,40.6,39.7,14.8,37.3,16.7,5.3
319_5 weeks_Lab_Tm,5 weeks,PWK,319,16,G644,12,Lab,,Tm,2,7.68,4.56,2.76,0.14,0.07,0.15,59.4,35.9,1.9,0.9,1.9,10.9,12.9,37.2,34.1,11.9,34.8,20.4,5.4
317/375_NIH_Lab_Tm,NIH,PWK,317,16,G644,5,SF,,Tm,2,2.51,0.3,2.01,0.05,0.14,0.01,11.9,79.8,2.2,5.5,0.6,9.16,16.2,44.3,48.3,17.7,36.6,20.6,9.9
317/375_2 weeks_SF_Tm,2 weeks,PWK,317,16,G644,9,SF,,Tm,2,4.21,2.58,1,0.47,0.14,0.02,61.2,23.8,11,3.4,0.6,9.91,16,45.2,45.6,16.2,35.4,15,12.8
317/375_5 weeks_SF_Tm,5 weeks,PWK,317,16,G644,12,SF,,Tm,2,8.73,6.43,1.73,0.33,0.14,0.1,73.7,19.8,3.7,1.6,1.2,10.16,16,46.1,45.3,15.8,34.8,15.3,6
318_NIH_Lab_Tm,NIH,PWK,318,16,G644,5,SF,,Tm,2,2.9,0.54,2.17,0.08,0.1,0.01,18.5,74.5,2.9,3.8,0.3,8.97,16,43.5,48.5,17.8,36.8,19.2,11.3
318_2 weeks_SF_Tm,2 weeks,PWK,318,16,G644,9,SF,,Tm,2,5.62,2.53,2.01,0.73,0.29,0.06,44.9,35.7,13.2,5.2,1,9.03,14.8,42,46.5,16.3,35.1,13.7,6.1
318_5 weeks_SF_Tm,5 weeks,PWK,318,16,G644,12,SF,,Tm,2,5.71,3.66,1.49,0.18,0.31,0.07,64.1,26.1,3.1,5.5,1.2,10.17,16.2,46.4,45.7,15.9,34.8,14.5,5.8
321/361_NIH_Lab_N,NIH,PWK,321/361,16,G643,4,Lab,,N,2,2.23,0.42,1.57,0.03,0.2,0.01,18.5,70.2,1.5,9.1,0.7,8.55,15.2,42.5,49.7,17.8,35.8,21.7,8.7
321/361_2 weeks_Lab_N,2 weeks,PWK,321/361,16,G643,9,Lab,,N,2,8.79,2.05,6.15,0.2,0.23,0.16,23.3,69.9,2.4,2.6,1.8,10.03,16.4,44.8,44.6,16.3,36.6,13.2,13.8
321/361_5 weeks_Lab_N,5 weeks,PWK,321/361,16,G643,12,Lab,,N,2,1.89,0.32,1.39,0.03,0.14,0.01,16.9,73.5,1.6,7,1,10.29,16.5,46.7,45.4,16,35.2,13.2,14
320_NIH_Lab_N,NIH,PWK,320,16,G643,4,SF,,N,2,3.98,0.41,3.27,0.05,0.24,0.01,10.1,82.1,1.4,6,0.4,8.5,15.5,42.1,49.6,18.2,36.8,19.6,10.6
320_2 weeks_SF_N,2 weeks,PWK,320,16,G643,9,SF,,N,2,2.18,0.51,1.26,0.22,0.16,0.03,23.4,57.8,10.1,7.3,1.4,9.93,16.5,45.6,45.9,16.6,36.1,14.2,13.9
320_5 weeks_SF_N,5 weeks,PWK,320,16,G643,12,SF,,N,2,1.68,0.67,0.11,0.78,0.1,0.02,39.8,6.6,46.1,6.3,1.2,9.47,16,44.3,46.8,16.9,36.2,13.5,12.9
323_NIH_Lab_Tm,NIH,PWK,323,17,G649,6,Lab,,Tm,2,2.67,0.23,2.29,0.04,0.1,0.01,8.3,85.7,1.6,3.8,0.6,9.36,15.9,45.1,48.2,17,35.4,16.3,6.2
323_2 weeks_Lab_Tm,2 weeks,PWK,323,17,G649,10,Lab,,Tm,2,3.2,0.54,2.53,0.03,0.06,0.04,16.6,78.9,1,2,1.5,9.4,15.3,42.7,45.4,16.3,35.9,13.2,13.6
323_5 weeks_Lab_Tm,5 weeks,PWK,323,17,G649,13,Lab,,Tm,2,1.15,0.26,0.71,0.05,0.11,0.02,22.2,61.6,4.7,9.2,2.3,10.15,16.3,46.4,45.7,16.1,35.2,13.8,13.9
325/363_NIH_Lab_N,NIH,PWK,325/363,17,G649,6,Lab,,N,2,4.03,0.37,3.49,0.09,0.06,0.02,9,86.5,2.2,1.6,0.7,9,15.9,44.9,49.9,17.7,35.4,16.4,13.8
325/363_2 weeks_Lab_N,2 weeks,PWK,325/363,17,G649,10,Lab,,N,2,5.16,0.58,4.35,0.06,0.07,0.1,11.1,84.3,1.2,1.5,1.9,10.06,16.5,45.7,45.4,16.4,36.1,13.9,13.5
325/363_5 weeks_Lab_N,5 weeks,PWK,325/363,17,G649,13,Lab,,N,2,2.89,1.12,1.53,0.04,0.15,0.05,38.6,52.7,1.4,5.4,1.9,10.03,16.2,45.9,45.7,16.1,35.3,15.1,14.5
324_NIH_Lab_Tm,NIH,PWK,324,17,G649,6,SF,,Tm,2,3.27,0.29,2.74,0.11,0.1,0.03,8.7,83.7,3.4,3.2,1,9.25,16.2,44.4,48,17.6,36.6,16.1,13.3
324_2 weeks_SF_Tm,2 weeks,PWK,324,17,G649,10,SF,,Tm,2,3.7,1.56,1.67,0.27,0.16,0.04,42.2,44.9,7.4,4.3,1.2,10.63,16.6,47.2,44.4,15.6,35.2,14.1,12.9
324_5 weeks_SF_Tm,5 weeks,PWK,324,17,G649,13,SF,,Tm,2,9.21,5.79,1.57,1.22,0.57,0.06,62.9,17,13.3,6.2,0.6,10.22,16.3,46.2,45.2,16,35.4,15.1,6.1
322_NIH_Lab_Tm,NIH,PWK,322,17,G645,6,Lab,,Tm,2,2.17,0.31,1.64,0.08,0.13,0.01,13.9,75.4,3.9,6.1,0.7,9.91,17.3,47.4,47.8,17.4,36.4,17.2,12.2
360_NIH_Lab_Tm,NIH,PWK,360,17,G645,6,SF,,Tm,2,1.78,0.1,1.52,0.07,0.08,0.01,5.3,85.4,4,4.3,1,7.6,13,36.8,48.4,17.1,35.3,17.5,5.3
360_2 weeks_SF_Tm,2 weeks,PWK,360,17,G645,10,SF,,Tm,2,2.38,0.52,1.43,0.21,0.19,0.03,21.8,59.9,8.7,8.2,1.4,9.99,16.1,45.5,45.5,16.1,35.4,14,13.7
360_5 weeks_SF_Tm,5 weeks,PWK,360,17,G645,13,SF,,Tm,2,6.47,3.49,1.55,0.7,0.66,0.07,53.9,23.9,10.8,10.3,1.1,10.46,17.1,47.9,45.9,16.4,35.7,13.7,5.8
310_NIH_Lab_Tm,NIH,PWK,310,14,G651,8,SF,,Tm,2,6.18,0.85,5,0.12,0.17,0.04,13.7,80.9,2,2.7,0.7,9.8,17.2,45.7,46.7,17.5,37.6,13.9,15.9
310_2 weeks_SF_Tm,2 weeks,PWK,310,14,G651,12,SF,,Tm,2,2.97,1.22,1.44,0.13,0.15,0.03,40.8,48.5,4.4,5,1.3,8.98,13.6,38.3,42.7,15.2,35.5,16.8,5.8
310_5 weeks_SF_Tm,5 weeks,PWK,310,14,G651,15,SF,,Tm,2,7.74,5.33,0.18,1.84,0.34,0.05,68.8,2.3,23.7,4.5,0.7,11.14,15.1,43.9,39.4,13.6,34.5,23.8,6.7
311_NIH_Lab_N,NIH,PWK,311,14,G651,8,SF,,N,2,2.14,0.52,1.46,0.07,0.09,0,24.3,68,3.2,4.4,0.1,6.15,10.7,29.5,47.9,17.4,36.4,13.6,5.8
311_2 weeks_SF_N,2 weeks,PWK,311,14,G651,12,SF,,N,2,3.06,1.1,1.75,0.1,0.07,0.04,35.8,57,3.3,2.5,1.4,11.09,17.2,49.5,44.6,15.5,34.7,13.4,5.6
311_5 weeks_SF_N,5 weeks,PWK,311,14,G651,15,SF,,N,2,2.26,1.28,0.88,0.02,0.07,0.01,56.4,38.8,1,3.2,0.6,10.73,16.8,47.9,44.6,15.6,35.1,13.2,5.7
313_NIH_Lab_N,NIH,PWK,313,14,G651,8,Lab,,N,2,2.2,0.32,1.68,0.05,0.14,0.01,14.5,76.4,2.1,6.2,0.8,9.02,15.4,43.1,47.8,17.1,35.8,14.3,15.6
313_2 weeks_Lab_N,2 weeks,PWK,313,14,G651,13,Lab,,N,2,4.91,1.19,3.33,0.22,0.09,0.08,24.1,67.7,4.6,1.9,1.7,9.77,15.8,43,44,16.2,36.7,13,13.9
313_5 weeks_Lab_N,5 weeks,PWK,313,14,G651,16,Lab,,N,2,3.34,1.86,1.3,0.04,0.11,0.03,55.5,38.8,1.4,3.4,0.9,10.53,15.7,45,42.7,15,35,15.2,10.5
312_NIH_Lab_Tm,NIH,PWK,312,14,G651,8,Lab,,Tm,2,2.24,0.37,1.76,0.04,0.06,0.01,16.2,78.6,1.9,2.8,0.5,4.93,7.9,23.9,48.4,16.1,33.3,13.4,5.5
312_2 weeks_Lab_Tm,2 weeks,PWK,312,14,G651,13,Lab,,Tm,2,13.4,6.45,5.92,0.6,0.26,0.17,48.2,44.2,4.5,1.9,1.2,9.88,15.7,42.6,43.1,15.9,36.8,13.5,5.7
312_5 weeks_Lab_Tm,5 weeks,PWK,312,14,G651,15,Lab,,Tm,2,1.95,0.57,1.19,0.04,0.13,0.02,29,60.7,2.3,6.9,1.1,10.58,16.2,47.1,44.5,15.3,34.4,16.1,5.7